식품의 유형,상세분류,에탄올 함량(도수),원산지,원재료명,제소사,지역,수입사
소주,참이슬 후레쉬,19.50%,대한민국,"정제수,주정,과당,쌀증류식소주원액,과당, 정제소금,효소처리스테비아,스테비올배당체",진로,서울,
소주,참이슬 클래식,20.10%,대한민국,"정제수,주정,과당,쌀증류식소주원액,과당, 정제소금,효소처리스테비아,스테비올배당체",진로,서울,
소주,처음처럼,17.50%,대한민국,"정제수,주정,과당,쌀증류식소주원액,과당, 정제소금,효소처리스테비아,스테비올배당체",롯데칠성음료,강원,
소주,시원한 청풍,17.50%,대한민국,"정제수,주정,과당,쌀증류식소주원액,과당, 정제소금,효소처리스테비아,스테비올배당체",시원소주,충북,
소주,O2린,17.80%,대한민국,"정제수,주정,과당,쌀증류식소주원액,과당, 정제소금,효소처리스테비아,스테비올배당체",맥키스 컴퍼니,충남,
소주,하이트,19%,대한민국,"정제수,주정,과당,쌀증류식소주원액,과당, 정제소금,효소처리스테비아,스테비올배당체",진로,"전북,울산,경남",
소주,잎새주,18.50%,대한민국,"정제수,주정,과당,쌀증류식소주원액,과당, 정제소금,효소처리스테비아,스테비올배당체",보해양조,"광주,전남",
소주,참소주,16.90%,대한민국,"정제수,주정,과당,쌀증류식소주원액,과당, 정제소금,효소처리스테비아,스테비올배당체",금복주,"대구,경북",
소주,좋은데이,16.90%,대한민국,"정제수,주정,과당,쌀증류식소주원액,과당, 정제소금,효소처리스테비아,스테비올배당체",무학,"울산,경남",
소주,C1,17.50%,대한민국,"정제수,주정,과당,쌀증류식소주원액,과당, 정제소금,효소처리스테비아,스테비올배당체",대선주조,부산,
소주,한라산,21%,대한민국,"정제수,주정,과당,쌀증류식소주원액,과당, 정제소금,효소처리스테비아,스테비올배당체",㈜한라산,제주,
liquor,자몽에이슬,13%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(자몽향),천연라임향,레드자몽농축액",진로,서울특별시,
liquor,청포도에이슬,13%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(청포도향),천연라임향,청포도농축액",진로,서울특별시,
liquor,처음처럼순하리(유자),14%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(유자향),천연라임향,유자농축액",롯데칠성음료,강원,
liquor,처음처럼순하리(복숭아),12%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(복숭아향),천연라임향,복숭아농축액",롯데칠성음료,강원,
liquor,처음처럼순하리(라임),15%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(라임향),천연라임향,라임농축액",롯데칠성음료,강원,
liquor,처음처럼순하리(사과),12%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(사과향),천연라임향,사과농축액",롯데칠성음료,강원,
liquor,좋은데이(자몽),13.50%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(자몽향),천연라임향,자몽농축액",무학,"울산,경남",
liquor,좋은데이(복숭아),13.50%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(복숭아향),천연라임향,복숭아농축액",무학,"울산,경남",
liquor,좋은데이(블루베리),13.50%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(블루베리향),천연라임향,블루베리농축액",무학,"울산,경남",
liquor,좋은데이(석류),13.50%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(석류향),천연라임향,석류농축액",무학,"울산,경남",
liquor,좋은데이(파인애플),13.50%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(파인애플향),천연라임향,파인애플농축액",무학,"울산,경남",
liquor,좋은데이(유자),13.50%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(유자향),천연라임향,유자농축액",무학,"울산,경남",
liquor,순한참(자몽),14%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(자몽향),천연라임향,자몽농축액",금복주,"대구,경북",
liquor,순한참(유자),14%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(유자향),천연라임향,유자농축액",금복주,"대구,경북",
liquor,순한참(청포도),14%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(청포도향),천연라임향,청포도농축액",금복주,"대구,경북",
liquor,순한참(블루베리),14%,대한민국,"정제수, 주정, 설탕,구연산, 사과산,젖산, 합성향료(블루베리향),천연라임향,블루베리농축액",금복주,"대구,경북",
liquor,복받은 부라더,12%,대한민국,"복분자과즙, 주정,정제수, 액상과당, 설탕,구연산, 글리신, 합성착향료(와인향)",보해양조,목포시,
과실주,부라더#소다,3%,대한민국,"화이트와인(스페인산), 주정, 설탕, 액상과당, 탄산가스, 구연산,글리신,정제수,합성착향료(요구르트향)",보해양조,목포시,
과실주,부라더#소다(딸기),3%,대한민국,"화이트와인(스페인산),주정,설탕,액상과당,딸기과즙,딸기농축액,석류농축액,블랙커런트농축액",보해양조,목포시,
과실주,부라더#소다(바나나),3%,대한민국,"화이트와인(스페인산), 주정, 설탕, 액상과당, 탄산가스, 구연산,글리신,정제수,합성착향료(바나나향,씨트러스향),바나나과즙,바나나농축액,아황산나트륨",보해양조,목포시,
과실주,부라더#소다(망고),3%,대한민국,"화이트와인(스페인산), 주정, 설탕, 액상과당, 탄산가스, 구연산,글리신,정제수,합성착향료(오렌지향,망고향),망고과즙,망고농축액,아황산나트륨",보해양조,목포시,
과실주,부라더#소다(요구르트),3%,대한민국,"화이트와인(스페인산), 주정, 설탕, 액상과당, 탄산가스, 구연산,글리신,정제수,합성착향료(요구르트향,씨트러스향),아황산나트륨",보해양조,목포시,
과실주,부라더#소다(자몽),3%,대한민국,"화이트와인(스페인산), 주정, 설탕, 액상과당, 탄산가스, 구연산,글리신,정제수,합성착향료(자몽향,씨트러스향),자몽과즙,자몽농축액,아황산나트륨",보해양조,목포시,
과실주,부라더#소다(풋사과),3%,대한민국,"화이트와인(스페인산), 주정, 설탕, 액상과당, 탄산가스, 구연산,글리신,정제수,합성착향료(사과향),사과과즙,사과농축액,아황산나트륨,카라멜색소",보해양조,목포시,
